IFBL;ifbluurhok;Xcoord;Ycoord
D355;d3-55;116012.000000;180180.000000
D356;d3-56;120012.000000;180180.000000
D357;d3-57;124012.000000;180180.000000
D358;d3-58;128012.000000;180180.000000
D411;d4-11;132012.000000;196180.000000
D412;d4-12;136012.000000;196180.000000
D413;d4-13;140012.000000;196180.000000
D414;d4-14;144012.000000;196180.000000
D415;d4-15;148012.000000;196180.000000
D416;d4-16;152012.000000;196180.000000
D417;d4-17;156012.000000;196180.000000
D418;d4-18;160012.000000;196180.000000
D421;d4-21;132012.000000;192180.000000
D422;d4-22;136012.000000;192180.000000
D423;d4-23;140012.000000;192180.000000
D424;d4-24;144012.000000;192180.000000
D425;d4-25;148012.000000;192180.000000
D426;d4-26;152012.000000;192180.000000
D427;d4-27;156012.000000;192180.000000
D428;d4-28;160012.000000;192180.000000
D431;d4-31;132012.000000;188180.000000
D432;d4-32;136012.000000;188180.000000
D433;d4-33;140012.000000;188180.000000
D434;d4-34;144012.000000;188180.000000
D435;d4-35;148012.000000;188180.000000
D436;d4-36;152012.000000;188180.000000
D437;d4-37;156012.000000;188180.000000
D438;d4-38;160012.000000;188180.000000
D441;d4-41;132012.000000;184180.000000
D442;d4-42;136012.000000;184180.000000
D443;d4-43;140012.000000;184180.000000
D444;d4-44;144012.000000;184180.000000
D445;d4-45;148012.000000;184180.000000
D446;d4-46;152012.000000;184180.000000
D447;d4-47;156012.000000;184180.000000
D448;d4-48;160012.000000;184180.000000
D451;d4-51;132012.000000;180180.000000
D452;d4-52;136012.000000;180180.000000
D453;d4-53;140012.000000;180180.000000
D454;d4-54;144012.000000;180180.000000
D455;d4-55;148012.000000;180180.000000
D456;d4-56;152012.000000;180180.000000
D457;d4-57;156012.000000;180180.000000
D458;d4-58;160012.000000;180180.000000
D511;d5-11;164012.000000;196180.000000
D512;d5-12;168012.000000;196180.000000
D513;d5-13;172012.000000;196180.000000
D514;d5-14;176012.000000;196180.000000
D515;d5-15;180012.000000;196180.000000
D516;d5-16;184012.000000;196180.000000
D517;d5-17;188012.000000;196180.000000
D518;d5-18;192012.000000;196180.000000
D521;d5-21;164012.000000;192180.000000
D522;d5-22;168012.000000;192180.000000
D523;d5-23;172012.000000;192180.000000
D524;d5-24;176012.000000;192180.000000
D525;d5-25;180012.000000;192180.000000
D526;d5-26;184012.000000;192180.000000
D527;d5-27;188012.000000;192180.000000
D528;d5-28;192012.000000;192180.000000
D531;d5-31;164012.000000;188180.000000
D532;d5-32;168012.000000;188180.000000
D533;d5-33;172012.000000;188180.000000
D534;d5-34;176012.000000;188180.000000
D535;d5-35;180012.000000;188180.000000
D536;d5-36;184012.000000;188180.000000
D537;d5-37;188012.000000;188180.000000
D538;d5-38;192012.000000;188180.000000
D541;d5-41;164012.000000;184180.000000
D542;d5-42;168012.000000;184180.000000
D543;d5-43;172012.000000;184180.000000
D544;d5-44;176012.000000;184180.000000
D545;d5-45;180012.000000;184180.000000
D546;d5-46;184012.000000;184180.000000
D547;d5-47;188012.000000;184180.000000
D548;d5-48;192012.000000;184180.000000
D551;d5-51;164012.000000;180180.000000
D552;d5-52;168012.000000;180180.000000
D553;d5-53;172012.000000;180180.000000
D554;d5-54;176012.000000;180180.000000
D555;d5-55;180012.000000;180180.000000
D556;d5-56;184012.000000;180180.000000
D557;d5-57;188012.000000;180180.000000
D558;d5-58;192012.000000;180180.000000
D611;d6-11;196012.000000;196180.000000
D612;d6-12;200012.000000;196180.000000
D613;d6-13;204012.000000;196180.000000
D614;d6-14;208012.000000;196180.000000
D615;d6-15;212012.000000;196180.000000
D616;d6-16;216012.000000;196180.000000
D617;d6-17;220012.000000;196180.000000
D618;d6-18;224012.000000;196180.000000
D621;d6-21;196012.000000;192180.000000
D622;d6-22;200012.000000;192180.000000
D623;d6-23;204012.000000;192180.000000
D624;d6-24;208012.000000;192180.000000
D625;d6-25;212012.000000;192180.000000
D626;d6-26;216012.000000;192180.000000
D627;d6-27;220012.000000;192180.000000
D628;d6-28;224012.000000;192180.000000
D631;d6-31;196012.000000;188180.000000
D632;d6-32;200012.000000;188180.000000
D633;d6-33;204012.000000;188180.000000
D634;d6-34;208012.000000;188180.000000
D635;d6-35;212012.000000;188180.000000
D636;d6-36;216012.000000;188180.000000
D637;d6-37;220012.000000;188180.000000
D638;d6-38;224012.000000;188180.000000
D641;d6-41;196012.000000;184180.000000
D642;d6-42;200012.000000;184180.000000
D643;d6-43;204012.000000;184180.000000
D644;d6-44;208012.000000;184180.000000
D645;d6-45;212012.000000;184180.000000
D646;d6-46;216012.000000;184180.000000
D647;d6-47;220012.000000;184180.000000
D648;d6-48;224012.000000;184180.000000
D651;d6-51;196012.000000;180180.000000
D652;d6-52;200012.000000;180180.000000
D653;d6-53;204012.000000;180180.000000
D654;d6-54;208012.000000;180180.000000
D655;d6-55;212012.000000;180180.000000
D656;d6-56;216012.000000;180180.000000
D657;d6-57;220012.000000;180180.000000
D658;d6-58;224012.000000;180180.000000
D711;d7-11;228012.000000;196180.000000
D712;d7-12;232012.000000;196180.000000
D713;d7-13;236012.000000;196180.000000
D714;d7-14;240012.000000;196180.000000
D715;d7-15;244012.000000;196180.000000
D716;d7-16;248012.000000;196180.000000
D717;d7-17;252012.000000;196180.000000
D721;d7-21;228012.000000;192180.000000
D722;d7-22;232012.000000;192180.000000
D723;d7-23;236012.000000;192180.000000
D724;d7-24;240012.000000;192180.000000
D725;d7-25;244012.000000;192180.000000
D726;d7-26;248012.000000;192180.000000
D731;d7-31;228012.000000;188180.000000
D732;d7-32;232012.000000;188180.000000
D733;d7-33;236012.000000;188180.000000
D734;d7-34;240012.000000;188180.000000
D735;d7-35;244012.000000;188180.000000
D736;d7-36;248012.000000;188180.000000
D741;d7-41;228012.000000;184180.000000
D742;d7-42;232012.000000;184180.000000
D743;d7-43;236012.000000;184180.000000
D744;d7-44;240012.000000;184180.000000
D745;d7-45;244012.000000;184180.000000
